field,name
_id1,_id
OBJECTI2,OBJECTID
SEGMENT3,SEGMENT_ID
INSTALL4,INSTALLED
UPGRADE5,UPGRADED
PRE_AMA6,PRE_AMALGAMATION
STREET_7,STREET_NAME
FROM_ST8,FROM_STREET
TO_STRE9,TO_STREET
ROADCLA10,ROADCLASS
CNPCLAS11,CNPCLASS
SURFACE12,SURFACE
OWNER13,OWNER
DIR_LOW14,DIR_LOWORDER
INFRA_L15,INFRA_LOWORDER
SEPA_LO16,SEPA_LOWORDER
SEPB_LO17,SEPB_LOWORDER
ORIG_LO18,ORIG_LOWORDER_INFRA
DIR_HIG19,DIR_HIGHORDER
INFRA_H20,INFRA_HIGHORDER
SEPA_HI21,SEPA_HIGHORDER
SEPB_HI22,SEPB_HIGHORDER
ORIG_HI23,ORIG_HIGHORDER
BYLAWED24,BYLAWED
EDITOR25,EDITOR
LAST_ED26,LAST_EDIT_DATE
UPGRADE27,UPGRADE_DESCRIPTION
CONVERT28,CONVERTED
